nombre,uva,tipo,produc,vinedo,clasificacion
CHATEAU FERRIERE,CABERNET SAUVIGNON,TINTO,2500,MARGAUX,NULL
BEAUJOLAIS-VILLAGES,PINOT NOIR,TINTO,NULL,BEAUJOLAIS,NULL
CHABLIS AOC,CHARDONNAY,BLANCO,NULL,CHABLIS,NULL
CHATEAU VERDIGNAN,CABERNET SAUVIGNON,TINTO,30000,MEDOC,NULL
MARQUES DE MURRIETA,VIURA,BLANCO,75000,RIOJA ALTA,NULL
SENORIO DE SARRIA,TEMPRANILLO,TINTO,NULL,NAVARRA,NULL
LA RIOJA ALTA,TEMPRANILLO,TINTO,120000,RIOJA ALTA,NULL
CHIANTI DOCG,SANGIOVESE,TINTO,NULL,TOSCANA,NULL
NIERSTEINER,RIESLING,BLANCO,NULL,RHEINHESSEN,NULL
CHATEAU DU TERTRE,CABERNET SAUVIGNON,TINTO,14000,MARGAUX,NULL
MARQUES DE CACERES,TEMPRANILLO,TINTO,350000,RIOJA ALTA,NULL
CHATEAU MARGAUX,CABERNET SAUVIGNON,TINTO,25000,MARGAUX,NULL
CHATEAU D ARSAC,CABERNET SAUVIGNON,TINTO,5500,MEDOC,NULL
